year,family_group,family_group_label,children_count,children_label,income_band_order,income_band_key,income_band,families,families_stated_total,share_within_child_group,aggregation_note
2011,couple,Couple families with children,1,1 child,9,1000_1499,"$1,000-$1,499",152164,781521,0.19470238163785747,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,9,1000_1499,"$1,000-$1,499",154532,914108,0.1690522345280864,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,9,1000_1499,"$1,000-$1,499",63843,347658,0.18363736775796904,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,9,1000_1499,"$1,000-$1,499",25235,107134,0.23554613848078107,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,1,1 child,10,1500_1999,"$1,500-$1,999",137602,781521,0.17606948501703729,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,10,1500_1999,"$1,500-$1,999",162217,914108,0.1774593374087088,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,10,1500_1999,"$1,500-$1,999",62473,347658,0.17969671343676832,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,10,1500_1999,"$1,500-$1,999",21591,107134,0.20153266003322942,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,1,1 child,11,2000_2499,"$2,000-$2,499",119530,781521,0.15294534631826912,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,11,2000_2499,"$2,000-$2,499",137844,914108,0.15079618600865544,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,11,2000_2499,"$2,000-$2,499",47165,347658,0.13566493507987734,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,11,2000_2499,"$2,000-$2,499",14161,107134,0.13218026023484608,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,1,1 child,12,2500_2999,"$2,500-$2,999",92501,781521,0.11836022320577438,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,12,2500_2999,"$2,500-$2,999",136675,914108,0.14951734368367853,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,12,2500_2999,"$2,500-$2,999",52853,347658,0.15202584148789902,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,12,2500_2999,"$2,500-$2,999",14087,107134,0.13148953646834804,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,1,1 child,13,3000_3999,"$3,000-$3,999",99757,781521,0.12764468261249537,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,13,3000_3999,"$3,000-$3,999",140122,914108,0.15328823290027,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,13,3000_3999,"$3,000-$3,999",49437,347658,0.14220009319503651,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,13,3000_3999,"$3,000-$3,999",11812,107134,0.11025444770100995,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,1,1 child,14,4000more,"$4,000 or more",48843,781521,0.06249736091544565,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,2,2 children,14,4000more,"$4,000 or more",69996,914108,0.07657300887860077,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,3,3 children,14,4000more,"$4,000 or more",26735,347658,0.07690028706372354,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2011,couple,Couple families with children,4m,4+ children,14,4000more,"$4,000 or more",0,107134,0.0,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,1,negative_nil,Negative/Nil income,4988,864229,0.005771618402067045,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,1,negative_nil,Negative/Nil income,4082,1003469,0.004067888494811499,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,1,negative_nil,Negative/Nil income,1201,363402,0.0033048799951568785,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,1,negative_nil,Negative/Nil income,0,101341,0.0,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,2,1_149,$1-$149,1594,864229,0.0018444185511016177,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,2,1_149,$1-$149,1214,1003469,0.001209803192724439,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,2,1_149,$1-$149,303,363402,0.0008337873759638087,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,2,1_149,$1-$149,147,101341,0.0014505481493176503,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,3,150_299,$150-$299,3589,864229,0.004152834491784006,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,3,150_299,$150-$299,2394,1003469,0.002385723923708655,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,3,150_299,$150-$299,710,363402,0.001953759197802984,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,3,150_299,$150-$299,409,101341,0.00403587886442802,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,4,300_399,$300-$399,2320,864229,0.0026844736753800207,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,4,300_399,$300-$399,1335,1003469,0.001330384894799939,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,4,300_399,$300-$399,334,363402,0.0009190923550228122,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,4,300_399,$300-$399,182,101341,0.0017959167562980433,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,5,400_499,$400-$499,9243,864229,0.01069508197480066,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,5,400_499,$400-$499,7371,1003469,0.00734551839668191,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,5,400_499,$400-$499,3013,363402,0.008291093609831537,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,5,400_499,$400-$499,1758,101341,0.01734737174490088,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,6,500_649,$500-$649,13381,864229,0.01548316476304313,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,6,500_649,$500-$649,10806,1003469,0.010768643575436809,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,6,500_649,$500-$649,4316,363402,0.011876654503827718,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
